Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
FAMOUS KNITS,COTTON GOODS,22-06-2022,1,0,1,3252
FAMOUS KNITS,COTTON GOODS,20-07-2022,0,2,4,22138
TOTAL                                   ,                              ,          ,4,27,58,240081
FARM ERA P.LTD.,COCONUTS,20-04-2022,0,1,2,28820
TOTAL                                   ,                              ,          ,0,1,2,28820
FARM FRESH,COCONUT OIL,30-08-2022,1,0,1,15800
FARM FRESH,COCONUT OIL,19-09-2022,1,0,1,16740
FARM FRESH,COCONUT OIL,24-10-2022,1,0,1,19750
FARM FRESH,COCONUTS,27-09-2022,0,1,2,27000
FARM FRESH,FOOD STUFFS,02-08-2022,0,1,2,25300
FARM FRESH,FOOD STUFFS,21-01-2022,1,0,1,19000
FARM FRESH,FOOD STUFFS,19-04-2022,1,0,1,21000
FARM FRESH,FOOD STUFFS,20-06-2022,1,0,1,20000
FARM FRESH,FOOD STUFFS,05-07-2022,1,0,1,17000
FARM FRESH,FOOD STUFFS,02-08-2022,1,0,1,17830
FARM FRESH,FOOD STUFFS,17-03-2022,1,0,1,19000
FARM FRESH,RICE,04-01-2022,1,0,1,26000
FARM FRESH,RICE,02-05-2022,2,0,2,39000
FARM FRESH,RICE,31-05-2022,1,0,1,23000
FARM FRESH,RICE,08-06-2022,1,0,1,15100
FARM FRESH,RICE,14-06-2022,1,0,1,24000
FARM FRESH,TEA,19-09-2022,0,1,2,17450
TOTAL                                   ,                              ,          ,15,3,21,362970
FARM TO TABLE TRADING LLP,COCONUTS,14-06-2022,0,1,2,28600
FARM TO TABLE TRADING LLP,COCONUTS,06-04-2022,0,1,2,28600
TOTAL                                   ,                              ,          ,0,2,4,57200
FARMART SERVIICE P.LTD.,COCONUTS,30-08-2022,0,2,4,57420
FARMART SERVIICE P.LTD.,COCONUTS,13-09-2022,0,2,4,57300
FARMART SERVIICE P.LTD.,COCONUTS,24-08-2022,0,1,2,28000
TOTAL                                   ,                              ,          ,0,5,10,142720
FARMCO TRADERS,SOAP,27-09-2022,0,0,0,954
TOTAL                                   ,                              ,          ,0,0,0,954
FASHION ASIA P.LTD.,COTTON GARMENTS,03-04-2022,0,0,0,240
TOTAL                                   ,                              ,          ,0,0,0,240
FASHION CLOTHING,COTTON GARMENTS,20-04-2022,1,0,1,3200
FASHION CLOTHING,COTTON GARMENTS,31-12-2022,1,0,1,2788
FASHION CLOTHING,COTTON GARMENTS,20-04-2022,1,0,1,3200
TOTAL                                   ,                              ,          ,3,0,3,9188
FASHION CO.,COTTON GARMENTS,16-04-2022,1,0,1,8368
TOTAL                                   ,                              ,          ,1,0,1,8368
FASHION CREATOR,COTTON GARMENTS,23-10-2022,0,5,10,36240
FASHION CREATOR,COTTON GARMENTS,13-11-2022,0,2,4,20020
FASHION CREATOR,COTTON GOODS,19-09-2022,0,3,6,20991
TOTAL                                   ,                              ,          ,0,10,20,77251
FASHION FABRIC,COTTON GARMENTS,13-09-2022,0,0,0,200
TOTAL                                   ,                              ,          ,0,0,0,200
FASHION FABS,COTTON GARMENTS,20-11-2022,0,1,2,4432
FASHION FABS,COTTON GOODS,29-04-2022,0,1,2,3473
FASHION FABS,COTTON GOODS,20-06-2022,0,1,2,4196
FASHION FABS,COTTON GOODS,26-01-2022,1,0,1,3155
TOTAL                                   ,                              ,          ,1,3,7,15256
FASHION FLAIR INDIA,COTTON GARMENTS,19-12-2022,0,0,0,455
TOTAL                                   ,                              ,          ,0,0,0,455
FASHION GATE,COTTON GARMENTS,20-05-2022,0,0,0,596
FASHION GATE,COTTON GARMENTS,23-05-2022,0,0,0,481
FASHION GATE,COTTON GARMENTS,10-07-2022,0,0,0,272
FASHION GATE,COTTON GOODS,23-05-2022,0,0,0,3337
TOTAL                                   ,                              ,          ,0,0,0,4686
FASHION HOUSE (INDIA),COTTON GARMENTS,05-05-2022,0,1,2,7457
TOTAL                                   ,                              ,          ,0,1,2,7457
FASHION HUNTER,COTTON GOODS,06-06-2022,0,1,2,7648
FASHION HUNTER,COTTON GOODS,06-11-2022,1,0,1,1521
FASHION HUNTER,COTTON GOODS,18-12-2022,0,1,2,4309
FASHION HUNTER,COTTON GOODS,14-08-2022,0,0,0,1206
TOTAL                                   ,                              ,          ,1,2,5,14684
FASHION INDIA,COTTON GARMENTS,08-08-2022,1,0,1,1194
TOTAL                                   ,                              ,          ,1,0,1,1194
FASHION KNIT-WEAR,COTTON GARMENTS,11-09-2022,0,0,0,524
FASHION KNIT-WEAR,COTTON GARMENTS,20-05-2022,0,0,0,904
FASHION KNIT-WEAR,COTTON GARMENTS,30-06-2022,0,1,2,9973
FASHION KNIT-WEAR,COTTON GARMENTS,02-01-2022,1,0,1,2527
FASHION KNIT-WEAR,COTTON GARMENTS,17-06-2022,0,0,0,632
FASHION KNIT-WEAR,COTTON GOODS,27-05-2022,1,0,1,4070
TOTAL                                   ,                              ,          ,2,1,4,18630
FASHION KNITS,COTTON GARMENTS,06-03-2022,0,0,0,1010
FASHION KNITS,COTTON GARMENTS,27-09-2022,0,0,0,1063
TOTAL                                   ,                              ,          ,0,0,0,2073
FASTEN MEDICAL P.LTD.,DISPOSABLE HOSPITAL PRODUCTS,21-01-2022,0,1,2,5900
FASTEN MEDICAL P.LTD.,MEDICAL EQUIPMENTS,10-05-2022,0,0,0,573
FASTEN MEDICAL P.LTD.,MEDICAL EQUIPMENTS,02-11-2022,1,0,1,2100
TOTAL                                   ,                              ,          ,1,1,3,8573
FATHIMA AGRO MILLS,FOOD STUFFS,11-10-2022,1,0,1,15500
TOTAL                                   ,                              ,          ,1,0,1,15500
FATHIMA ALI HASAN,FOOD STUFFS,17-08-2022,1,0,1,14600
TOTAL                                   ,                              ,          ,1,0,1,14600
FAUNA INTERNATIONAL,COTTON GARMENTS,23-05-2022,0,1,2,4547
FAUNA INTERNATIONAL,COTTON GARMENTS,17-06-2022,1,0,1,4186
TOTAL                                   ,                              ,          ,1,1,3,8733
FAVOUR-ITA INTERNATIONAL,FOOD STUFFS,09-02-2022,0,1,2,16123
FAVOUR-ITA INTERNATIONAL,FOOD STUFFS,17-08-2022,0,1,2,17578
FAVOUR-ITA INTERNATIONAL,FOOD STUFFS,04-12-2022,1,0,1,8618
FAVOUR-ITA INTERNATIONAL,FOOD STUFFS,04-06-2022,1,0,1,7295
FAVOUR-ITA INTERNATIONAL,FOOD STUFFS,30-08-2022,0,1,2,15079
TOTAL                                   ,                              ,          ,2,3,8,64693
FAVOURITE READYMADE GARMENTS,COTTON GARMENTS,08-06-2022,1,0,1,6180
FAVOURITE READYMADE GARMENTS,COTTON GARMENTS,04-01-2022,1,0,1,6418
FAVOURITE READYMADE GARMENTS,COTTON GARMENTS,19-09-2022,0,0,0,2924
FAVOURITE READYMADE GARMENTS,COTTON GOODS,21-07-2022,1,0,1,6934
FAVOURITE READYMADE GARMENTS,COTTON GOODS,15-12-2022,1,0,1,8096
TOTAL                                   ,                              ,          ,4,0,4,30552
FAZE THREE EXPORTS LTD.,COTTON GARMENTS,08-06-2022,1,0,1,2405
TOTAL                                   ,                              ,          ,1,0,1,2405
FCI OEN CONNECTORS LTD.,CONNECTORS,12-08-2022,1,0,1,2349
FCI OEN CONNECTORS LTD.,CONNECTORS,06-05-2022,1,0,1,3364
FCI OEN CONNECTORS LTD.,CONNECTORS,04-11-2022,0,0,0,166
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,0,0,0,260
FCI OEN CONNECTORS LTD.,CONNECTORS,13-07-2022,0,0,0,1831
FCI OEN CONNECTORS LTD.,CONNECTORS,22-01-2022,1,0,1,2684
FCI OEN CONNECTORS LTD.,CONNECTORS,30-01-2022,1,0,1,5684
FCI OEN CONNECTORS LTD.,CONNECTORS,16-02-2022,0,0,0,5340
FCI OEN CONNECTORS LTD.,CONNECTORS,23-02-2022,0,0,0,2664
FCI OEN CONNECTORS LTD.,CONNECTORS,21-06-2022,0,1,2,95180
FCI OEN CONNECTORS LTD.,CONNECTORS,20-06-2022,0,0,0,869
FCI OEN CONNECTORS LTD.,CONNECTORS,17-12-2022,0,0,0,108
FCI OEN CONNECTORS LTD.,CONNECTORS,12-11-2022,0,0,0,89
FCI OEN CONNECTORS LTD.,CONNECTORS,30-05-2022,0,0,0,357
FCI OEN CONNECTORS LTD.,CONNECTORS,07-02-2022,0,0,0,275
FCI OEN CONNECTORS LTD.,CONNECTORS,19-04-2022,0,0,0,365
FCI OEN CONNECTORS LTD.,CONNECTORS,25-08-2022,0,0,0,276
FCI OEN CONNECTORS LTD.,CONNECTORS,26-04-2022,0,0,0,390
FCI OEN CONNECTORS LTD.,CONNECTORS,04-12-2022,0,0,0,1583
FCI OEN CONNECTORS LTD.,CONNECTORS,01-03-2022,0,0,0,2321
FCI OEN CONNECTORS LTD.,CONNECTORS,10-03-2022,4,0,4,5846
FCI OEN CONNECTORS LTD.,CONNECTORS,02-04-2022,0,1,2,4170
FCI OEN CONNECTORS LTD.,CONNECTORS,29-04-2022,0,1,2,2962
FCI OEN CONNECTORS LTD.,CONNECTORS,30-05-2022,0,1,2,2293
FCI OEN CONNECTORS LTD.,CONNECTORS,05-06-2022,0,1,2,2855
FCI OEN CONNECTORS LTD.,CONNECTORS,18-06-2022,1,0,1,1557
FCI OEN CONNECTORS LTD.,CONNECTORS,26-06-2022,1,0,1,1259
FCI OEN CONNECTORS LTD.,CONNECTORS,30-07-2022,0,1,2,2500
FCI OEN CONNECTORS LTD.,CONNECTORS,28-08-2022,0,1,2,3441
FCI OEN CONNECTORS LTD.,CONNECTORS,05-09-2022,1,1,3,4316
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,2,0,2,1971
FCI OEN CONNECTORS LTD.,CONNECTORS,02-10-2022,2,0,2,2986
FCI OEN CONNECTORS LTD.,CONNECTORS,29-10-2022,0,2,4,6393
FCI OEN CONNECTORS LTD.,CONNECTORS,02-11-2022,3,0,3,5073
FCI OEN CONNECTORS LTD.,CONNECTORS,28-11-2022,0,1,2,2550
FCI OEN CONNECTORS LTD.,CONNECTORS,07-12-2022,0,1,2,3703
FCI OEN CONNECTORS LTD.,CONNECTORS,28-12-2022,1,0,1,2256
FCI OEN CONNECTORS LTD.,CONNECTORS,10-02-2022,1,0,1,1446
FCI OEN CONNECTORS LTD.,CONNECTORS,13-11-2022,0,0,0,2522
FCI OEN CONNECTORS LTD.,CONNECTORS,20-02-2022,0,1,2,2233
FCI OEN CONNECTORS LTD.,CONNECTORS,12-05-2022,0,0,0,1463
FCI OEN CONNECTORS LTD.,CONNECTORS,04-06-2022,1,0,1,1494
FCI OEN CONNECTORS LTD.,CONNECTORS,05-07-2022,1,0,1,1655
FCI OEN CONNECTORS LTD.,CONNECTORS,09-08-2022,0,0,0,1663
FCI OEN CONNECTORS LTD.,CONNECTORS,08-10-2022,0,0,0,922
FCI OEN CONNECTORS LTD.,CONNECTORS,11-01-2022,1,1,3,12386
FCI OEN CONNECTORS LTD.,CONNECTORS,25-02-2022,0,1,2,9935
FCI OEN CONNECTORS LTD.,CONNECTORS,11-03-2022,2,0,2,8953
FCI OEN CONNECTORS LTD.,CONNECTORS,29-03-2022,0,1,2,8190
FCI OEN CONNECTORS LTD.,CONNECTORS,10-05-2022,0,1,2,9109
FCI OEN CONNECTORS LTD.,CONNECTORS,05-06-2022,1,0,1,2102
FCI OEN CONNECTORS LTD.,CONNECTORS,01-07-2022,0,1,2,8509
FCI OEN CONNECTORS LTD.,CONNECTORS,27-07-2022,0,1,2,8018
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,1,0,1,6102
FCI OEN CONNECTORS LTD.,CONNECTORS,04-11-2022,0,1,2,9998
FCI OEN CONNECTORS LTD.,CONNECTORS,02-12-2022,1,0,1,6943
FCI OEN CONNECTORS LTD.,CONNECTORS,31-12-2022,0,1,2,11514
FCI OEN CONNECTORS LTD.,CONNECTORS,27-02-2022,0,0,0,3300
FCI OEN CONNECTORS LTD.,CONNECTORS,09-03-2022,1,0,1,3236
FCI OEN CONNECTORS LTD.,CONNECTORS,06-05-2022,1,0,1,3345
FCI OEN CONNECTORS LTD.,CONNECTORS,12-09-2022,0,0,0,800
FCI OEN CONNECTORS LTD.,CONNECTORS,16-10-2022,0,0,0,934
FCI OEN CONNECTORS LTD.,CONNECTORS,01-07-2022,0,1,2,4741
FCI OEN CONNECTORS LTD.,CONNECTORS,19-03-2022,0,1,2,2764
FCI OEN CONNECTORS LTD.,CONNECTORS,08-06-2022,0,0,0,1364
FCI OEN CONNECTORS LTD.,CONNECTORS,15-06-2022,0,0,0,1163
FCI OEN CONNECTORS LTD.,CONNECTORS,27-05-2022,1,0,1,2000
FCI OEN CONNECTORS LTD.,CONNECTORS,10-05-2022,1,0,1,2925
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,0,0,0,2592
FCI OEN CONNECTORS LTD.,CONNECTORS,06-05-2022,1,0,1,1861
FCI OEN CONNECTORS LTD.,CONNECTORS,11-11-2022,0,0,0,758
FCI OEN CONNECTORS LTD.,CONNECTORS,11-07-2022,0,0,0,2151
FCI OEN CONNECTORS LTD.,CONNECTORS,16-08-2022,1,0,1,1984
FCI OEN CONNECTORS LTD.,CONNECTORS,06-09-2022,0,0,0,1351
FCI OEN CONNECTORS LTD.,CONNECTORS,07-10-2022,0,0,0,887
FCI OEN CONNECTORS LTD.,CONNECTORS,29-11-2022,0,0,0,119
FCI OEN CONNECTORS LTD.,CONNECTORS,12-07-2022,0,0,0,772
FCI OEN CONNECTORS LTD.,CONNECTORS,19-03-2022,0,0,0,3287
FCI OEN CONNECTORS LTD.,CONNECTORS,03-08-2022,0,1,2,4089
FCI OEN CONNECTORS LTD.,CONNECTORS,10-09-2022,0,1,2,8907
FCI OEN CONNECTORS LTD.,CONNECTORS,28-03-2022,0,1,2,4980
FCI OEN CONNECTORS LTD.,CONNECTORS,08-04-2022,0,1,2,5809
FCI OEN CONNECTORS LTD.,CONNECTORS,17-03-2022,0,0,0,5534
FCI OEN CONNECTORS LTD.,CONNECTORS,10-02-2022,0,0,0,4806
FCI OEN CONNECTORS LTD.,CONNECTORS,17-06-2022,0,1,2,6205
FCI OEN CONNECTORS LTD.,CONNECTORS,30-01-2022,0,2,4,11494
FCI OEN CONNECTORS LTD.,CONNECTORS,02-02-2022,0,1,2,4620
FCI OEN CONNECTORS LTD.,CONNECTORS,05-02-2022,0,3,6,14311
FCI OEN CONNECTORS LTD.,CONNECTORS,17-02-2022,0,1,2,4518
FCI OEN CONNECTORS LTD.,CONNECTORS,24-02-2022,0,1,2,6013
FCI OEN CONNECTORS LTD.,CONNECTORS,16-04-2022,0,1,2,4629
FCI OEN CONNECTORS LTD.,CONNECTORS,22-06-2022,0,1,2,5543
FCI OEN CONNECTORS LTD.,CONNECTORS,03-07-2022,0,1,2,5691
FCI OEN CONNECTORS LTD.,CONNECTORS,10-07-2022,0,1,2,5962
FCI OEN CONNECTORS LTD.,CONNECTORS,07-08-2022,0,0,0,7690
FCI OEN CONNECTORS LTD.,CONNECTORS,30-08-2022,0,2,4,9051
FCI OEN CONNECTORS LTD.,CONNECTORS,11-09-2022,0,1,2,10338
FCI OEN CONNECTORS LTD.,CONNECTORS,19-09-2022,0,2,4,10565
FCI OEN CONNECTORS LTD.,CONNECTORS,10-10-2022,0,1,2,12337
FCI OEN CONNECTORS LTD.,CONNECTORS,23-10-2022,0,1,2,5966
FCI OEN CONNECTORS LTD.,CONNECTORS,13-11-2022,0,1,2,3856
FCI OEN CONNECTORS LTD.,CONNECTORS,25-12-2022,0,1,2,3845
FCI OEN CONNECTORS LTD.,CONNECTORS,17-03-2022,0,1,2,15957
FCI OEN CONNECTORS LTD.,CONNECTORS,26-04-2022,0,0,0,3022
FCI OEN CONNECTORS LTD.,CONNECTORS,28-04-2022,1,0,1,5620
FCI OEN CONNECTORS LTD.,CONNECTORS,05-05-2022,1,0,1,4755
FCI OEN CONNECTORS LTD.,CONNECTORS,20-05-2022,0,1,2,9995
FCI OEN CONNECTORS LTD.,CONNECTORS,17-06-2022,1,1,3,10032
FCI OEN CONNECTORS LTD.,CONNECTORS,24-08-2022,1,0,1,10612
FCI OEN CONNECTORS LTD.,CONNECTORS,30-10-2022,0,2,4,9040
FCI OEN CONNECTORS LTD.,CONNECTORS,06-11-2022,1,0,1,5834
FCI OEN CONNECTORS LTD.,CONNECTORS,20-11-2022,0,1,2,5327
FCI OEN CONNECTORS LTD.,CONNECTORS,27-11-2022,0,0,0,5739
FCI OEN CONNECTORS LTD.,CONNECTORS,11-12-2022,0,1,2,5549
FCI OEN CONNECTORS LTD.,CONNECTORS,25-12-2022,0,1,2,6450
FCI OEN CONNECTORS LTD.,CONNECTORS,11-12-2022,0,0,0,1223
FCI OEN CONNECTORS LTD.,CONNECTORS,13-07-2022,1,0,1,2435
FCI OEN CONNECTORS LTD.,CONNECTORS,22-01-2022,1,0,1,2567
FCI OEN CONNECTORS LTD.,CONNECTORS,02-02-2022,3,0,3,7904
FCI OEN CONNECTORS LTD.,CONNECTORS,06-03-2022,0,1,2,4923
FCI OEN CONNECTORS LTD.,CONNECTORS,29-03-2022,1,0,1,2464
FCI OEN CONNECTORS LTD.,CONNECTORS,10-01-2022,2,0,2,5300
FCI OEN CONNECTORS LTD.,CONNECTORS,23-01-2022,1,0,1,2604
FCI OEN CONNECTORS LTD.,CONNECTORS,26-01-2022,1,0,1,2293
FCI OEN CONNECTORS LTD.,CONNECTORS,05-07-2022,1,0,1,2338
FCI OEN CONNECTORS LTD.,CONNECTORS,20-07-2022,3,0,3,6931
FCI OEN CONNECTORS LTD.,CONNECTORS,25-07-2022,2,0,2,4980
FCI OEN CONNECTORS LTD.,CONNECTORS,01-08-2022,1,0,1,2002
FCI OEN CONNECTORS LTD.,CONNECTORS,07-08-2022,3,0,3,7298
FCI OEN CONNECTORS LTD.,CONNECTORS,08-08-2022,2,0,2,4683
FCI OEN CONNECTORS LTD.,CONNECTORS,14-08-2022,1,0,1,2580
FCI OEN CONNECTORS LTD.,CONNECTORS,12-02-2022,1,0,1,2594
FCI OEN CONNECTORS LTD.,CONNECTORS,16-02-2022,1,0,1,2429
FCI OEN CONNECTORS LTD.,CONNECTORS,03-03-2022,2,0,2,4920
FCI OEN CONNECTORS LTD.,CONNECTORS,08-03-2022,1,0,1,2437
FCI OEN CONNECTORS LTD.,CONNECTORS,17-03-2022,2,0,2,4834
FCI OEN CONNECTORS LTD.,CONNECTORS,19-03-2022,0,0,0,2536
FCI OEN CONNECTORS LTD.,CONNECTORS,28-03-2022,1,0,1,2498
FCI OEN CONNECTORS LTD.,CONNECTORS,06-04-2022,1,0,1,1295
FCI OEN CONNECTORS LTD.,CONNECTORS,17-04-2022,2,0,2,4550
FCI OEN CONNECTORS LTD.,CONNECTORS,26-04-2022,1,0,1,2187
FCI OEN CONNECTORS LTD.,CONNECTORS,29-04-2022,1,0,1,2274
FCI OEN CONNECTORS LTD.,CONNECTORS,03-05-2022,1,0,1,2219
FCI OEN CONNECTORS LTD.,CONNECTORS,04-05-2022,1,0,1,2263
FCI OEN CONNECTORS LTD.,CONNECTORS,10-05-2022,1,0,1,2690
FCI OEN CONNECTORS LTD.,CONNECTORS,18-05-2022,2,0,2,4523
FCI OEN CONNECTORS LTD.,CONNECTORS,22-05-2022,1,0,1,2597
FCI OEN CONNECTORS LTD.,CONNECTORS,30-05-2022,2,0,2,4467
FCI OEN CONNECTORS LTD.,CONNECTORS,08-06-2022,1,0,1,2584
FCI OEN CONNECTORS LTD.,CONNECTORS,14-06-2022,0,0,0,4904
FCI OEN CONNECTORS LTD.,CONNECTORS,20-06-2022,1,0,1,2514
FCI OEN CONNECTORS LTD.,CONNECTORS,17-08-2022,2,0,2,5463
FCI OEN CONNECTORS LTD.,CONNECTORS,19-08-2022,1,0,1,2277
FCI OEN CONNECTORS LTD.,CONNECTORS,22-08-2022,1,0,1,2258
FCI OEN CONNECTORS LTD.,CONNECTORS,25-08-2022,1,0,1,2285
FCI OEN CONNECTORS LTD.,CONNECTORS,30-08-2022,2,1,4,9638
FCI OEN CONNECTORS LTD.,CONNECTORS,04-09-2022,2,0,2,5005
FCI OEN CONNECTORS LTD.,CONNECTORS,12-09-2022,1,0,1,2535
FCI OEN CONNECTORS LTD.,CONNECTORS,17-09-2022,4,0,4,9434
FCI OEN CONNECTORS LTD.,CONNECTORS,29-09-2022,2,0,2,4646
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,1,0,1,4275
FCI OEN CONNECTORS LTD.,CONNECTORS,16-10-2022,0,1,2,5076
FCI OEN CONNECTORS LTD.,CONNECTORS,21-10-2022,4,0,4,9869
FCI OEN CONNECTORS LTD.,CONNECTORS,29-10-2022,1,0,1,2659
FCI OEN CONNECTORS LTD.,CONNECTORS,12-11-2022,1,0,1,2666
FCI OEN CONNECTORS LTD.,CONNECTORS,02-12-2022,0,1,2,2510
FCI OEN CONNECTORS LTD.,CONNECTORS,26-06-2022,1,0,1,4949
FCI OEN CONNECTORS LTD.,CONNECTORS,05-07-2022,0,0,0,4988
FCI OEN CONNECTORS LTD.,CONNECTORS,29-09-2022,0,0,0,2767
FCI OEN CONNECTORS LTD.,CONNECTORS,01-10-2022,3,0,3,9330
FCI OEN CONNECTORS LTD.,CONNECTORS,29-10-2022,3,0,3,7259
FCI OEN CONNECTORS LTD.,CONNECTORS,05-11-2022,1,0,1,2504
FCI OEN CONNECTORS LTD.,CONNECTORS,12-11-2022,1,0,1,7349
FCI OEN CONNECTORS LTD.,CONNECTORS,19-11-2022,3,0,3,7981
FCI OEN CONNECTORS LTD.,CONNECTORS,04-12-2022,1,0,1,1787
FCI OEN CONNECTORS LTD.,CONNECTORS,10-12-2022,5,0,5,12806
FCI OEN CONNECTORS LTD.,CONNECTORS,17-12-2022,4,0,4,10209
FCI OEN CONNECTORS LTD.,CONNECTORS,31-12-2022,2,0,2,4671
FCI OEN CONNECTORS LTD.,CONNECTORS,01-08-2022,0,0,0,1132
FCI OEN CONNECTORS LTD.,CONNECTORS,23-12-2022,1,0,1,2318
FCI OEN CONNECTORS LTD.,CONNECTORS,08-11-2022,0,0,0,1384
FCI OEN CONNECTORS LTD.,CONNECTORS,02-01-2022,1,1,3,4478
FCI OEN CONNECTORS LTD.,CONNECTORS,20-02-2022,0,1,2,2828
FCI OEN CONNECTORS LTD.,CONNECTORS,05-10-2022,0,0,0,1401
FCI OEN CONNECTORS LTD.,CONNECTORS,31-12-2022,0,0,0,143
FCI OEN CONNECTORS LTD.,CONNECTORS,02-12-2022,0,1,2,2823
TOTAL                                   ,                              ,          ,134,64,262,892011
FCW TILES P.LTD.,TILES,20-09-2022,0,0,0,1426
TOTAL                                   ,                              ,          ,0,0,0,1426
FD APPARELS,COTTON GOODS,26-01-2022,0,0,0,139
TOTAL                                   ,                              ,          ,0,0,0,139
FEBIN MARINE FOODS,FROZEN MARINE FOODS,22-10-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,23-10-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-06-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-11-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,23-11-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,17-12-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-01-2022,0,1,2,20500
FEBIN MARINE FOODS,FROZEN MARINE FOODS,12-02-2022,0,1,2,23232
FEBIN MARINE FOODS,FROZEN MARINE FOODS,19-03-2022,0,1,2,23232
FEBIN MARINE FOODS,FROZEN MARINE FOODS,27-03-2022,0,1,2,23000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,02-04-2022,0,1,2,23100
FEBIN MARINE FOODS,FROZEN MARINE FOODS,06-05-2022,0,1,2,23000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,23-06-2022,0,1,2,23000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,30-07-2022,0,2,4,45800
FEBIN MARINE FOODS,FROZEN MARINE FOODS,17-09-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,19-10-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,30-06-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,11-12-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,20-05-2022,0,1,2,23000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,27-08-2022,0,1,2,16000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,03-05-2022,0,1,2,17640
FEBIN MARINE FOODS,FROZEN MARINE FOODS,09-02-2022,0,1,2,17640
FEBIN MARINE FOODS,FROZEN MARINE FOODS,30-05-2022,0,1,2,21865
FEBIN MARINE FOODS,FROZEN MARINE FOODS,20-07-2022,0,1,2,20685
FEBIN MARINE FOODS,FROZEN MARINE FOODS,23-07-2022,0,3,6,62121
FEBIN MARINE FOODS,FROZEN MARINE FOODS,04-09-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,09-10-2022,1,0,1,13000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,16-04-2022,0,1,2,18000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,28-04-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,06-06-2022,0,2,4,42672
FEBIN MARINE FOODS,FROZEN MARINE FOODS,17-06-2022,0,2,4,38814
FEBIN MARINE FOODS,FROZEN MARINE FOODS,30-10-2022,0,1,2,20000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,20-11-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,27-11-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,11-12-2022,0,2,4,39658
FEBIN MARINE FOODS,FROZEN MARINE FOODS,09-01-2022,0,1,2,22000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,29-04-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,02-07-2022,0,2,4,42662
FEBIN MARINE FOODS,FROZEN MARINE FOODS,10-07-2022,0,1,2,21371
FEBIN MARINE FOODS,FROZEN MARINE FOODS,12-07-2022,0,2,4,39850
FEBIN MARINE FOODS,FROZEN MARINE FOODS,07-08-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,22-08-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,07-10-2022,0,1,2,17000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,06-11-2022,0,2,4,39850
FEBIN MARINE FOODS,FROZEN MARINE FOODS,25-12-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,07-02-2022,0,1,2,22100
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-03-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,23-03-2022,0,1,2,23000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,12-04-2022,0,1,2,17330
FEBIN MARINE FOODS,FROZEN MARINE FOODS,18-07-2022,0,1,2,21000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-08-2022,0,1,2,20825
FEBIN MARINE FOODS,FROZEN MARINE FOODS,09-08-2022,0,1,2,20000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,25-08-2022,0,1,2,20000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,08-10-2022,0,1,2,20825
FEBIN MARINE FOODS,FROZEN MARINE FOODS,16-01-2022,0,1,2,24000
FEBIN MARINE FOODS,FROZEN MARINE FOODS,02-01-2022,0,1,2,23758
