Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
A-1 ENTERPRISES,COTTON GOODS,30-08-2022,0,1,2,21119
A-1 ENTERPRISES,COTTON GOODS,11-09-2022,0,0,0,3696
A-1 ENTERPRISES,COTTON GOODS,13-11-2022,0,0,0,1871
A-1 ENTERPRISES,COTTON GOODS,18-12-2022,0,1,2,8256
A-1 ENTERPRISES,COTTON GOODS,18-12-2022,0,1,2,7462
TOTAL                                   ,                              ,          ,1,11,23,97225
A-TEX FASHIONS P.LTD.,COTTON GARMENTS,23-05-2022,0,0,0,2103
TOTAL                                   ,                              ,          ,0,0,0,2103
A. TOSH & SONS (I) LTD.,TEA,12-09-2022,0,1,2,12650
A. TOSH & SONS (I) LTD.,TEA,29-09-2022,0,1,2,12650
A. TOSH & SONS (I) LTD.,TEA,25-07-2022,1,0,1,11550
A. TOSH & SONS (I) LTD.,TEA,30-08-2022,1,0,1,12100
A. TOSH & SONS (I) LTD.,TEA,21-10-2022,0,1,2,12650
A. TOSH & SONS (I) LTD.,TEA,16-10-2022,0,1,2,27552
A. TOSH & SONS (I) LTD.,TEA,17-06-2022,0,1,2,20437
A. TOSH & SONS (I) LTD.,TEA,18-12-2022,1,0,1,6790
A. TOSH & SONS (I) LTD.,TEA,19-01-2022,0,1,2,6424
A. TOSH & SONS (I) LTD.,TEA,25-09-2022,0,1,2,6458
A. TOSH & SONS (I) LTD.,TEA,11-11-2022,1,0,1,3696
A. TOSH & SONS (I) LTD.,TEA,04-01-2022,1,0,1,3628
A. TOSH & SONS (I) LTD.,TEA,13-03-2022,2,0,2,7324
A. TOSH & SONS (I) LTD.,TEA,13-07-2022,1,0,1,8851
A. TOSH & SONS (I) LTD.,TEA,09-08-2022,1,0,1,3465
A. TOSH & SONS (I) LTD.,TEA,20-09-2022,1,0,1,3696
A. TOSH & SONS (I) LTD.,TEA,06-12-2022,1,0,1,3696
A. TOSH & SONS (I) LTD.,TEA,12-01-2022,0,1,2,12297
A. TOSH & SONS (I) LTD.,TEA,12-04-2022,1,0,1,9525
A. TOSH & SONS (I) LTD.,TEA,20-09-2022,1,0,1,12698
A. TOSH & SONS (I) LTD.,TEA,22-01-2022,1,0,1,6960
