,Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
0,BIOINGREDIA NATURAL P.LTD.,CURRY POWDER,2022-01-01,1,0,1,3632
1,EXIGEN ENERGY P.LTD.,GENERATOR,2022-01-01,0,1,2,10000
2,ECOPIENS ARECA PLATE PRODUCERS I P. LTD.,PALM LEAF PLATES,2022-01-01,0,1,2,12060
3,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-01-01,0,3,6,53147
4,GEEKAY SPECIALITY CHEMICALS,CHEMICALS,2022-01-01,1,0,1,16000
5,ELITE GREEN P.LTD.,FOOD STUFFS,2022-01-01,1,0,1,19287
6,SUMI MERCANTILE CO. P. LTD.,RICE,2022-01-01,2,0,2,49820
7,SWISS SINGAPORE INDIA P.LTD.,TEA,2022-01-01,1,0,1,11295
8,COCHIN MINERALS AND RUTILE LTD.,FERRIC CHLORIDE,2022-01-01,5,0,5,120000
9,SUMI MERCANTILE CO. P. LTD.,RICE,2022-01-01,1,0,1,24000
10,SUMI MERCANTILE CO. P. LTD.,COCONUTS,2022-01-01,1,0,1,11005
11,ECONOMIC FOOD SOLUTIONS P.LTD.,FOOD STUFFS,2022-01-01,0,1,2,21652
12,ALPHA MATS,RUBBER MATS,2022-01-01,0,1,2,21600
13,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-01,1,0,1,24786
14,STANFAB APPARELS,COTTON GOODS,2022-01-01,0,0,0,785
15,PRASANTHI CASHEW CO.,CASHEW KERNELS,2022-01-01,2,0,2,30000
16,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-01-01,0,0,0,335
17,MAF CLOTHING P.LTD.,COTTON GOODS,2022-01-01,0,0,0,1507
18,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-01,1,0,1,24173
19,ATHIYAN AGRO PRODUCTS,COCONUTS,2022-01-01,0,1,2,28500
20,HI-TECH PRE TREADS P.LTD.,TYRE RETREADING MATERIALS,2022-01-01,1,0,1,19900
21,N.C. JOHN & SONS LTD.,COIR MATS,2022-01-01,0,0,0,59
22,KARTHIKAI TEXTILE MILLS,COTTON GOODS,2022-01-01,0,0,0,1533
23,V.M.POLYTEX LTD.,P.P.WOVEN BAGS,2022-01-01,0,1,2,18582
24,MAYBORN FOOD SPECIALITIES,TAPIOCA,2022-01-01,0,1,2,26320
25,ROCHER JOE FERRERO,COCONUTS,2022-01-01,0,1,2,28710
26,UNIVERSAL OLEORESINS,OLEORESINS OF SPICES,2022-01-01,0,0,0,4073
27,ANCHUTHARA FOOD PRODUCTS,FOOD STUFFS,2022-01-01,1,0,1,15713
28,GEM EQUIPMENTS,COOLING TOWERS,2022-01-01,0,1,2,5120
29,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-01-01,0,0,0,1386
30,AFRAS CASHEW  TRADERS,CASHEW KERNELS,2022-01-01,1,0,1,15000
31,S.A.CASHEW,CASHEW KERNELS,2022-01-01,1,0,1,15000
32,OLIVE FASHIONS,COTTON GOODS,2022-01-01,0,0,0,1437
33,T.M.KNITWEAR,COTTON GARMENTS,2022-01-01,0,0,0,939
34,SUGA COCO PRODUCTS,JAGGERY,2022-01-01,1,0,1,17000
35,OMKAR INTERNATIONAL,COTTON GARMENTS,2022-01-01,1,0,1,12220
36,CUBEVO INTERNATIONAL TRADING P.LTD.,BANANA,2022-01-01,0,1,2,20938
37,AMARAVATHI TEXTILES,COTTON GARMENTS,2022-01-01,0,0,0,2351
38,AERATHAYIL  ENTERPRISES,FOOD STUFFS,2022-01-01,1,0,1,8221
39,AMAZING EXPORT CORPORATION,COTTON GARMENTS,2022-01-01,0,0,0,89
40,AMAZING EXPORT CORPORATION,COTTON GOODS,2022-01-01,0,0,0,862
41,CRUDEX INTERNATIONAL,PIPE FITTINGS,2022-01-01,1,0,1,5800
42,SYMEGA FOOD INGREDIENTS,FOOD STUFFS,2022-01-01,1,0,1,11214
43,RAJSUJEE INTERNATIONAL,COTTON GOODS,2022-01-01,0,1,2,2945
44,KAY ENN TRADING,COCONUTS,2022-01-01,0,2,4,57548
45,KAVS SPECIALITIES P.LTD.,FOOD STUFFS,2022-01-01,1,0,1,8192
46,SSK EXPORT LIMITED,TEA,2022-01-01,0,2,4,40360
47,MAS ENTERPRISES LTD.,CARDAMOM,2022-01-01,0,1,2,17400
48,SESHA EXPORTS,COTTON GOODS,2022-01-01,0,0,0,752
49,AJMI FLOUR MILL(I)P.LTD.,FOOD STUFFS,2022-01-01,1,0,1,17900
50,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-01-01,0,1,2,7788
51,PHOENIX EXPORTS,RICE,2022-01-01,1,0,1,26000
52,POPULAR RUBBER PRODUCTS,RUBBER PRODUCTS,2022-01-01,0,0,0,257
53,PHILLIPS CARBON BLACK LTD.,CARBON BLACK,2022-01-01,0,4,8,90004
54,PRAJAN PILE FOUNDATION,COCONUTS,2022-01-01,0,1,2,25620
55,PEEKAY STEEL CASTING LTD.,VALVES,2022-01-01,1,0,1,7913
56,PEEKAY STEEL CASTING LTD.,VALVES,2022-01-01,1,0,1,9055
57,K.P.B. GLOBAL EXPORTERS PVT LTD,COCONUTS,2022-01-01,0,1,2,28600
58,WESTERN INDIA PLYWOODS LTD.,PLYWOOD,2022-01-01,0,4,8,100800
59,FRANCIS KOTTACKAL EXIM(P)LTD.,RICE,2022-01-01,1,0,1,26000
60,CARBORUNDUM UNIVERSAL LTD.,SILICON CARBIDE GRAINS,2022-01-01,0,0,0,240
61,ARJUNA NATURAL P. LTD.,OLEORESINS OF SPICES,2022-01-01,0,0,0,448
62,ZEBA LAB FURNITURE,LABORATORY FURNITURE,2022-01-01,1,0,1,2672
63,AB MAURI INDIA P.LTD.,PEPPER,2022-01-01,0,1,2,19900
64,N.C. JOHN & SONS LTD.,COIR MATS,2022-01-01,0,1,2,20083
65,DOHRNII CHAIN P.LTD.,FOOD STUFFS,2022-01-01,0,1,2,21606
66,MAKRO FASHION,COTTON GOODS,2022-01-01,0,0,0,774
67,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-01-01,0,3,6,85320
68,NITTA GELATIN INDIA LTD.,GELATIN,2022-01-01,0,1,2,20720
69,L & P RUBBER INDUSTRIES,TYRE RETREADING MATERIALS,2022-01-01,1,0,1,21400
70,PREMIER FINE LINENS P.LTD.,COTTON GARMENTS,2022-01-01,0,0,0,2940
71,AB MAURI INDIA P.LTD.,SPICES,2022-01-01,0,1,2,19900
72,POOJA TRADING COMPANY,FOOD STUFFS,2022-01-01,1,0,1,18000
73,FORTUNE ELASTOMERS P.LTD.,CHAPPALS,2022-01-01,0,1,2,7728
74,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-01,1,0,1,24075
75,AL-GAYATHRI TRADING CO. P. LTD.,TEA,2022-01-01,0,4,8,84180
76,ABBCO FOODS,FOOD STUFFS,2022-01-01,1,0,1,15000
77,HITACHI ENERGY INDIA LIMITED,ELECTRICAL ITEMS,2022-01-01,2,0,2,19611
78,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-01-01,0,0,0,421
79,UNIPOWER TRANSFORMERS,INVERTOR,2022-01-01,0,2,4,55855
80,CARBORUNDUM UNIVERSAL LTD.,SILICON CARBIDE GRAINS,2022-01-01,2,0,2,41000
81,FRESCO IMPORT&EXPORT,BANANA,2022-01-01,0,1,2,18720
82,PERLEI TEXTILES P.LTD.,COTTON GOODS,2022-01-01,0,0,0,2143
83,ARVIND LTD.,COTTON GOODS,2022-01-01,0,0,0,1186
84,PETERS WORLDWIDE P. LTD.,RUBBER MATS,2022-01-01,0,1,2,20668
85,GREEN LEAF EXPORTS,COCONUTS,2022-01-01,0,1,2,28600
86,GREEN METRO INTERNATIONAL,BANANA,2022-01-01,0,1,2,20020
87,PLANT LIPIDS  LTD.,PEPPER,2022-01-01,0,1,2,22928
88,PLANT LIPIDS  LTD.,OLEORESINS OF SPICES,2022-01-01,0,0,0,5057
89,PLANT LIPIDS  LTD.,SPICES,2022-01-01,0,1,2,12642
90,AKAY NATURAL INGREDIENTS,OLEORESINS OF SPICES,2022-01-01,0,0,0,912
91,LOOM CRAFT,COIR MATS,2022-01-01,0,1,2,9982
92,M.S.GARMENTS,COTTON GOODS,2022-01-01,0,1,2,5571
93,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-01-01,0,1,2,9049
94,VASANTH FASHIONS,COTTON GOODS,2022-01-01,0,1,2,2528
95,SANA INTERNATIONAL,BANANA,2022-01-01,0,2,4,41876
96,V.R. COMPOSITES,GLASS FIBRE,2022-01-01,0,1,2,22446
97,FAIR EXPORTS INDIA P.LTD.,FOOD STUFFS,2022-01-01,1,0,1,25000
98,GENERAL RUBBERS,TYRE RETREADING MATERIALS,2022-01-01,1,0,1,6897
99,MOLVIZADAH SONS,CARDAMOM,2022-01-01,1,0,1,8000
100,SYNERGY LIFESTYELS P.LTD.,COTTON GOODS,2022-01-01,0,1,2,10469
101,EVEREST PLYWOOD,PLYWOOD,2022-01-01,0,1,2,26500
102,APOLLO TYRES LTD.,TYRES/TUBES,2022-01-01,0,1,2,16852
103,CK HOSEIREIS,COTTON GOODS,2022-01-01,0,0,0,269
104,SYNTHITE INDUSTRIES LTD.,GINGER,2022-01-01,1,0,1,15697
105,AVT MCCORMICK INGREDIENTS LTD.,CELERY SEEDS,2022-01-01,0,1,2,16960
106,WALKAROO INTERNATIONAL,CHAPPALS,2022-01-01,0,1,2,7344
107,KLF NIRMAL INDUSTRIES(P)LTD.,COCONUT OIL,2022-01-01,1,0,1,8944
108,SOUTH KERALA CASHEW EXPORTERS,CASHEW KERNELS,2022-01-01,0,1,2,14944
109,SYNTHITE INDUSTRIES LTD.,SPICES,2022-01-01,1,0,1,10283
110,KOTTAYAM KITCHEN,BOTTLES,2022-01-01,0,0,0,3610
111,ILHAM EXPORTS&IMPORTS,BANANA,2022-01-01,0,2,4,40520
112,KOTTACKAL AGRO FOODS,RICE,2022-01-01,3,0,3,72000
113,PEEKAY SONS INTERNATIONAL,FOOD STUFFS,2022-01-01,0,1,2,14563
114,TRAVANCORE COCOTUFT P.LTD.,RUBBER MATS,2022-01-01,1,0,1,9840
115,INDCARB ACTIVATED CARBON P.LTD.,ACTIVATED CARBON,2022-01-01,0,1,2,26208
116,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-01-01,0,2,4,55080
117,AIM OVERSEAS,FOOD STUFFS,2022-01-01,1,0,1,8795
118,PEEKAY ROLLER FLOUR MILLS,MAIDA,2022-01-01,3,0,3,64000
119,I.T.C. LTD.,COFFEE,2022-01-01,2,0,2,39064
120,GLOBAL EXPORTERS,FOOD STUFFS,2022-01-01,1,0,1,15500
121,BOLA RAGHAVENDRA KAMATH & SONS,CASHEW KERNELS,2022-01-01,1,0,1,15000
122,SYNTHITE INDUSTRIES LTD.,TURMERIC POWDER,2022-01-01,1,0,1,10136
123,FIBER WONDERS,COIR MATTING,2022-01-01,0,2,4,38070
124,AGRO COIR EXPORTS,COIR PITH,2022-01-01,0,1,2,26300
125,INDIAN PRODUCTS LTD.,TEA,2022-01-01,0,1,2,24508
126,TRACON EXPORT SERVICES P. LTD.,COTTON GOODS,2022-01-01,0,0,0,218
127,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-01-01,1,0,1,13899
128,PYARY PRODUCTS,SOAP,2022-01-01,1,0,1,12960
129,"SREE GANAPATH GAR,MENTS",COTTON GARMENTS,2022-01-01,1,0,1,1250
130,ALPHONSA CASHEW INDUSTRIES,CASHEW KERNELS,2022-01-01,2,0,2,30000
131,CHIRACKAL AGRO MILLS,RICE,2022-01-01,1,0,1,25000
132,TRAVANCORE MATS & MATTING CO.,COIR MATS,2022-01-01,0,1,2,15784
133,INDROYAL CRAFTS,FURNITURE,2022-01-01,0,1,2,3447
134,CHOICE TRADING CORPN. LTD.,FROZEN SHRIMPS,2022-01-01,0,1,2,19000
135,MORGAN FASHIONS,COTTON GOODS,2022-01-01,0,1,2,8871
136,KERALA HOME FOOD STUFF EXPORT,FOOD STUFFS,2022-01-01,1,0,1,19000
137,SILVER EXIM,FOOD STUFFS,2022-01-01,1,0,1,15000
138,S.M. APPARELS,COTTON GARMENTS,2022-01-01,0,1,2,5274
139,BOMBAY BURMAH TRADING CORPN.,TEA,2022-01-01,1,0,1,12540
140,INDUS CONSUMER PRODUCTS LTD.,COIR MATS,2022-01-01,0,1,2,24070
141,ACCELERATED FREEZE DRYING CO LTD.,FROZEN SHRIMPS,2022-01-01,0,1,2,21792
142,INTERGROW BRANDS P.LTD.,FOOD STUFFS,2022-01-01,0,1,2,22000
143,INTERGROW BRANDS P.LTD.,FOOD STUFFS,2022-01-01,2,0,2,15852
144,BRAHMINS FOOD INDIA P.LTD.,FOOD STUFFS,2022-01-01,0,1,2,24857
145,PEACOCK FAASHIONS,COTTON GOODS,2022-01-01,0,0,0,380
146,MRF LTD.,TYRES/TUBES,2022-01-01,0,4,8,60368
147,G.P.R.CLOTHING COMPANY,COTTON GOODS,2022-01-01,0,1,2,6044
148,MARICO LTD.,COCONUT OIL,2022-01-01,0,1,2,27972
149,ACTIVE CHAR PRODUCTS P.LTD.,ACTIVATED CARBON,2022-01-01,0,1,2,22352
150,MATS N MORE,COIR MATS,2022-01-01,1,0,1,8340
151,COOLMATE REFERIGERATION,REFRIGERATION SET,2022-01-01,0,1,2,5750
152,ROOT IMPEX,BANANA,2022-01-01,0,1,2,15708
153,VITTAL AGRO INDUSTRIES,COCONUT POWDER,2022-01-01,0,2,4,50000
154,CONNISSEUR FASHION,COTTON GOODS,2022-01-01,0,0,0,418
155,K.B.EXPORTS & IMPORT,BANANA,2022-01-01,0,1,2,19500
156,MAYBORN FOOD SPECIALITIES,FOOD STUFFS,2022-01-01,0,2,4,52000
157,FIBRE WORLD,COIR MATS,2022-01-01,0,0,0,2480
158,APOLLO TYRES LTD.,TYRES/TUBES,2022-01-01,0,1,2,17398
159,GEO SEAFOODS,FROZEN MARINE FOODS,2022-01-01,0,1,2,18506
160,SURESH GARMENTS,COTTON GARMENTS,2022-01-01,0,1,2,16779
161,KAIRALI IMPORTS & EXPORT,FOOD STUFFS,2022-01-01,0,1,2,19340
162,COCO  FIBRE TEX,COIR MATS,2022-01-01,0,1,2,27364
163,TALENT INTERNATIONAL,PLYWOOD,2022-01-01,0,1,2,27510
164,SINSAN EXPORTS,COCONUTS,2022-01-01,0,2,4,56800
165,GEO SEAFOODS,FROZEN MARINE FOODS,2022-01-01,0,1,2,20648
166,MAS ENTERPRISES LTD.,CARDAMOM,2022-01-01,1,0,1,9350
167,MULLA ABDUL HUSSAIN SONS,CAR SEAT COVER,2022-01-01,0,0,0,538
168,RAMANI IMPEX,COTTON GOODS,2022-01-01,0,0,0,1502
169,EXCELLENT CASHEW CO.,CASHEW KERNELS,2022-01-01,1,0,1,15876
170,GENERAL RUBBERS,TYRE RETREADING MATERIALS,2022-01-01,0,0,0,1831
171,OXO EXPORTS,COTTON GOODS,2022-01-01,1,0,1,6403
172,SUVIDHEE APPARELS,COTTON GOODS,2022-01-01,1,0,1,5554
173,TEEMWORK CREATIONS,COTTON GARMENTS,2022-01-01,0,2,4,20519
174,ALLANASONS LTD.,COFFEE,2022-01-01,2,0,2,38400
175,TATA COFFEE LTD.,COFFEE,2022-01-01,4,0,4,77696
176,INDIAN PRODUCTS LTD.,PEPPER,2022-01-01,0,1,2,13866
177,MRF LTD.,TYRES/TUBES,2022-01-01,0,5,10,79834
178,SREEKOVIL AGENCIES,HOUSEHOLD ARTICLES,2022-01-01,0,1,2,6430
179,ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,2022-01-01,1,0,1,20526
180,MRF LTD.,TYRES/TUBES,2022-01-01,0,1,2,10170
181,INDIAN PRODUCTS LTD.,SPICES,2022-01-01,0,2,4,31658
182,NSP TEX,COTTON GARMENTS,2022-01-01,0,0,0,1029
183,V.K.L.SEASONING P.LTD.,SPICES,2022-01-01,0,1,2,24000
184,ANEEN FURNITURE,PAPER BAGS,2022-01-01,0,0,0,1180
185,KNIT HOME GARMENTS,COTTON GOODS,2022-01-01,0,0,0,2677
186,ROSHAN GARMENTS,COTTON GOODS,2022-01-01,0,0,0,889
187,SONA EXPORTERS,TAPIOCA CHIPS,2022-01-01,0,1,2,15565
188,R.T.R.GARMENTS,COTTON GARMENTS,2022-01-01,1,0,1,5498
189,SUBASH WIRES AND CABLES P.LTD.,WIRES,2022-01-01,1,0,1,14320
190,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-01-01,0,7,14,196648
191,GREEN INTERNATIONAL FORIEGN TRADING,COCONUTS,2022-01-01,0,1,2,27640
192,INDIAN PRODUCTS LTD.,SPICES,2022-01-01,0,1,2,14963
193,AVT NATURAL PRODUCTS LTD.,OLEORESINS OF SPICES,2022-01-01,1,0,1,15752
194,ALLANASONS LTD.,COFFEE,2022-01-02,5,0,5,97280
195,HERBAL ISOLATES P. LTD.,GREEN PEPPER,2022-01-02,1,0,1,22680
196,WESTERN INDIA CASHEW CO.,ROASTED & SALTED CASHEWNUTS,2022-01-02,0,1,2,18815
197,A.M.FISHERIES,FROZEN MARINE FOODS,2022-01-02,0,1,2,24518
198,UNIROYAL MARINE EXPORTS LTD.,FROZEN MARINE FOODS,2022-01-02,1,0,1,9350
199,S.L.N.COFFEE P.LTD.,COFFEE,2022-01-02,4,0,4,76800
200,FASHION KNIT-WEAR,COTTON GARMENTS,2022-01-02,1,0,1,2527
201,B & B MERCHANDISING ,COTTON GARMENTS,2022-01-02,0,1,2,16400
202,IREL(INDIA)LTD.,SILLIMANITE SAND,2022-01-02,3,0,3,63082
203,WESTERN INDIA CASHEW CO.,ROASTED & SALTED CASHEWNUTS,2022-01-02,0,1,2,19160
204,B.P. INTERNATIONAL,COTTON GARMENTS,2022-01-02,0,0,0,531
205,WESTERN INDIA CASHEW CO.,ROASTED & SALTED CASHEWNUTS,2022-01-02,0,3,6,56780
206,B.R.ELASTIC,ELASTIC PRODUCTS,2022-01-02,1,0,1,1675
207,BIG BAG INTERNATIONAL P. LTD.,P.P.WOVEN BAGS,2022-01-02,0,0,0,1606
208,T.M.KNITWEAR,COTTON GARMENTS,2022-01-02,0,1,2,1484
209,J.B.C. INTERNATIONAL,COIR MATS,2022-01-02,0,4,8,39668
210,OLAM AGRO INDIA LTD.,SPICES,2022-01-02,0,1,2,23348
211,EXTRA WEAVE,JUTE MATTING,2022-01-02,0,1,2,12756
212,DYNAMIC TECHNO MEDICALS PVT. LTD.,ORTHOPEADIC APPLIANCES,2022-01-02,0,1,2,3290
213,S.E.EXPORTS,COTTON GARMENTS,2022-01-02,0,0,0,1331
214,GOLDEN PALM MANUFACTURERS P. LTD.,PAPER,2022-01-02,0,1,2,18399
215,AKSHATH GARMENTS,COTTON GARMENTS,2022-01-02,0,1,2,7200
216,BELL FOODS,FROZEN MARINE FOODS,2022-01-02,0,1,2,23400
217,HONEY WELL CREATION,COTTON GARMENTS,2022-01-02,0,0,0,807
218,SAINT GOBAIN INDIA P.LTD.,REFRACTORY MATERIALS,2022-01-02,0,3,6,30771
219,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-01-02,0,0,0,1283
220,SYNTHITE INDUSTRIES LTD.,OLEORESIN NUTMEG,2022-01-02,0,0,0,315
221,INDIAN AQUATIC PRODUCTS,FROZEN MARINE FOODS,2022-01-02,0,1,2,23750
222,NSP TEX,COTTON GARMENTS,2022-01-02,0,1,2,10414
223,NSP TEX,COTTON GARMENTS,2022-01-02,0,0,0,637
224,SYNTHITE INDUSTRIES LTD.,SPICES,2022-01-02,0,1,2,17874
225,SAFERA FOOD INTERNATIONAL,FROZEN SHRIMPS,2022-01-02,0,1,2,20974
226,SYNTHITE INDUSTRIES LTD.,SPICES,2022-01-02,0,1,2,16902
227,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-01-02,0,0,0,2538
228,INDIAN PRODUCTS LTD.,CRUSHED CHILLIES,2022-01-02,0,1,2,20298
229,OCEAN WEALTH EXPORTS,FROZEN MARINE FOODS,2022-01-02,0,1,2,27731
230,SALZER ELECTRONICS LTD.,SWITCHES,2022-01-02,0,1,2,12075
231,INDIAN STONE,GRANITE SLABS\TILES,2022-01-02,1,0,1,28000
232,J.H.ENTERPRISES,GINGER,2022-01-02,0,1,2,24384
233,SESHA EXPORTS,COTTON GARMENTS,2022-01-02,0,0,0,3704
234,FAMOUS KNITS,COTTON GARMENTS,2022-01-02,0,1,2,3705
235,NAS FISHERIES P.LTD.,FROZEN MARINE FOODS,2022-01-02,0,1,2,27621
236,SYNTHITE INDUSTRIES LTD.,TURMERIC POWDER,2022-01-02,1,0,1,17258
237,MONSUN FOODS P.LTD.,FROZEN MARINE FOODS,2022-01-02,0,1,2,25300
238,UNIQUE SHELL MOULD (I)P.LTD.,AUTOMOBILES PARTS,2022-01-02,0,1,2,16135
239,TAVA FOODS,COCONUT OIL,2022-01-02,0,1,2,27026
240,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-02,1,0,1,24812
241,TORRY HARRIS SEAFOODS LTD.,FROZEN MARINE FOODS,2022-01-02,1,0,1,12181
242,AVLA NETTOS EXPORTS,FROZEN SQUID,2022-01-02,0,2,4,50000
243,WALKAROO INTERNATIONAL,CHAPPALS,2022-01-02,0,1,2,10900
244,CHRISTY APPARELS,COTTON GARMENTS,2022-01-02,0,2,4,15067
245,ARUNA ALLOY STEELS P. LTD.,VALVES,2022-01-02,0,0,0,1352
246,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-01-02,0,2,4,36991
247,PREMIER SEAFOODS EXIM LTD.,FROZEN SHRIMPS,2022-01-02,0,1,2,22000
248,APOLLO TYRES LTD.,TYRES/TUBES,2022-01-02,0,1,2,8201
249,PENVER PRODUCTS P.LTD.,FROZEN MARINE FOODS,2022-01-02,0,1,2,22690
250,PRECOT LTD.,COTTON YARN,2022-01-02,0,1,2,20185
251,CLAIRON FILTERS,FILTER ELEMENT,2022-01-02,0,1,2,3452
252,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-02,1,0,1,24812
253,TRAVANCORE MATS & MATTING CO.,JUTE MATTING,2022-01-02,0,2,4,32013
254,SUDHAN SPINNING MILLS LTD.,COTTON YARN,2022-01-02,0,4,8,81648
255,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-01-02,1,0,1,2523
256,SRI CHERAN SYNTHETICS,COTTON GARMENTS,2022-01-02,0,1,2,21420
257,ARUNA ALLOY STEELS P. LTD.,STEEL CASTINGS,2022-01-02,0,0,0,1162
258,RELISHA EXPORTS,COTTON YARN,2022-01-02,0,1,2,21915
259,M.K.EXPORTS,COTTON GARMENTS,2022-01-02,0,1,2,8676
260,BIG BAG INTERNATIONAL P. LTD.,P.P.WOVEN BAGS,2022-01-02,0,1,2,15296
261,INDO GERMAN CARBONS LTD.,ACTIVATED CARBON,2022-01-02,0,1,2,27216
262,A.M.FISHERIES,FROZEN MARINE FOODS,2022-01-02,0,1,2,23650
263,MOTHER GARMENTS,COTTON GARMENTS,2022-01-02,0,1,2,3630
264,MORPHO KNITWEAR,COTTON GARMENTS,2022-01-02,1,0,1,2816
265,SYNTHITE INDUSTRIES LTD.,OLEORESIN CAPSICUM,2022-01-02,0,0,0,693
266,HIGHRANGE RUBBER & COIR PRODUCTS,RUBBER MATS,2022-01-02,1,0,1,16970
267,SAMYS INTERNATIONAL,COTTON GARMENTS,2022-01-02,1,0,1,2937
268,AGATHYAN EXPORTS,COTTON GARMENTS,2022-01-02,0,0,0,1895
269,SAN MARINE EXPORTS,FROZEN MARINE FOODS,2022-01-02,0,2,4,43740
270,SAN PRECISION ALLOYS,AUTOMOBILES PARTS,2022-01-02,0,0,0,170
271,DEJAI KNIT GARMENTS,COTTON GARMENTS,2022-01-02,0,1,2,2050
272,TERUMO PENPOL LTD.,BLOOD BAG,2022-01-02,0,1,2,4526
273,SYNTHITE INDUSTRIES LTD.,CRUSHED CHILLIES,2022-01-02,1,0,1,9983
274,BHUVANESWARI TEX,COTTON GARMENTS,2022-01-02,0,0,0,1650
275,DEENS INTERNATIONAL,RUBBER MATS,2022-01-02,0,1,2,27105
276,OLAM AGRO INDIA LTD.,SPICES,2022-01-02,0,1,2,17110
277,GRAIN N GRACE FOOD INGREDIENTS P. LTD.,FOOD STUFFS,2022-01-02,0,1,2,22450
278,BARANI HYDRALICS  INDIA P.LTD.,VALVES,2022-01-02,1,1,3,12396
279,DANESH HOME FASHIONS,COTTON GARMENTS,2022-01-02,0,1,2,12140
280,B.N.T. INNOVATIONS P. LTD.,COTTON GARMENTS,2022-01-02,1,0,1,2344
281,SAINT GOBAIN INDIA P.LTD.,REFRACTORY MATERIALS,2022-01-02,1,6,13,138419
282,FCI OEN CONNECTORS LTD.,CONNECTORS,2022-01-02,1,1,3,4478
283,BELL FOODS,FROZEN MARINE FOODS,2022-01-02,0,1,2,26400
284,NESTLE INDIA LTD.,TEA,2022-01-02,1,0,1,10945
285,BABY MARINE EXPORTS,FROZEN MARINE FOODS,2022-01-02,0,1,2,25000
286,ANUGRAHA VALVE CASTINGS LTD.,VALVES,2022-01-02,0,0,0,760
287,NEW LINE EXPORTS,COTTON GARMENTS,2022-01-02,0,3,6,35037
288,VADAKKEDATH INDUSTRIES P.LTD.,CARDAMOM,2022-01-02,0,1,2,19800
289,EVERGREEN EXPORTS,FROZEN SHRIMPS,2022-01-02,0,1,2,27000
290,MATEX,RUBBER MATS,2022-01-02,0,1,2,22125
291,RHYTHEM KNIT INDIA,COTTON GARMENTS,2022-01-02,0,1,2,19511
292,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-01-02,1,0,1,2731
293,RHYTHEM KNIT INDIA,COTTON GARMENTS,2022-01-02,1,0,1,1124
294,ANUSAM APPARELS,COTTON GARMENTS,2022-01-02,0,1,2,6163
295,RGR KNITWEAR,COTTON GARMENTS,2022-01-02,0,1,2,3055
296,SEAFOOD INNOVATIONS,FROZEN SQUID,2022-01-02,0,1,2,23100
297,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-01-02,1,0,1,14182
298,GREENWAY EXIMS,COTTON GARMENTS,2022-01-02,0,1,2,7016
299,GREETINGS KNITWEAR,COTTON GARMENTS,2022-01-02,0,0,0,1008
300,MATS N MORE,COIR MATS,2022-01-02,0,1,2,19100
301,TECHNO EXPORTS,COIR FIBER,2022-01-02,0,1,2,23925
302,VALUE FASHION,COTTON GARMENTS,2022-01-02,0,0,0,1139
303,GEO SEAFOODS,FROZEN MARINE FOODS,2022-01-02,0,1,2,24000
304,ANUGRAHA FASHION MILL P.LTD.,COTTON GARMENTS,2022-01-02,0,1,2,5749
305,NESTLE INDIA LTD.,INSTANT TEA,2022-01-02,1,0,1,9845
306,PENVER PRODUCTS P.LTD.,FROZEN MARINE FOODS,2022-01-02,0,1,2,23000
307,SHREE HARIE STEEL & ALLOYS,STEEL CASTINGS,2022-01-02,0,0,0,2879
308,A.N.P.APPARELS,COTTON GARMENTS,2022-01-02,0,1,2,6117
309,JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,2022-01-02,4,0,4,98712
310,SEASON COIR EXPORTS,COIR MATS,2022-01-02,0,1,2,25831
311,COTTON WOOD,COTTON GARMENTS,2022-01-02,0,0,0,884
312,SHRI PRANAV TEXTILES,COTTON GARMENTS,2022-01-02,0,0,0,823
313,RYTHUM KNIT CREATIONS,COTTON GARMENTS,2022-01-02,0,1,2,7200
